INFO     | 2024-09-25 12:53:30,180 | progress   |       Finished subset 48/551, 8.71 percent done
INFO     | 2024-09-25 12:53:30,324 | progress   |       Finished subset 49/551, 8.89 percent done
INFO     | 2024-09-25 12:53:30,426 | progress   |       Finished subset 50/551, 9.07 percent done
INFO     | 2024-09-25 12:53:30,612 | progress   |       Finished subset 51/551, 9.26 percent done
INFO     | 2024-09-25 12:53:30,703 | progress   |       Finished subset 52/551, 9.44 percent done
INFO     | 2024-09-25 12:53:30,784 | progress   |       Finished subset 53/551, 9.62 percent done
INFO     | 2024-09-25 12:53:30,897 | progress   |       Finished subset 54/551, 9.80 percent done
INFO     | 2024-09-25 12:53:30,994 | progress   |       Finished subset 55/551, 9.98 percent done
INFO     | 2024-09-25 12:53:31,145 | progress   |       Finished subset 56/551, 10.16 percent done
INFO     | 2024-09-25 12:53:31,174 | progress   |       Finished subset 57/551, 10.34 percent done
INFO     | 2024-09-25 12:53:31,261 | progress   |       Finished subset 58/551, 10.53 percent done
INFO     | 2024-09-25 12:53:31,351 | progress   |       Finished subset 59/551, 10.71 percent done
INFO     | 2024-09-25 12:53:31,453 | progress   |       Finished subset 60/551, 10.89 percent done
INFO     | 2024-09-25 12:53:31,561 | progress   |       Finished subset 61/551, 11.07 percent done
INFO     | 2024-09-25 12:53:31,718 | progress   |       Finished subset 62/551, 11.25 percent done
INFO     | 2024-09-25 12:53:31,809 | progress   |       Finished subset 63/551, 11.43 percent done
INFO     | 2024-09-25 12:53:31,928 | progress   |       Finished subset 64/551, 11.62 percent done
INFO     | 2024-09-25 12:53:31,957 | progress   |       Finished subset 65/551, 11.80 percent done
INFO     | 2024-09-25 12:53:32,056 | progress   |       Finished subset 66/551, 11.98 percent done
INFO     | 2024-09-25 12:53:32,149 | progress   |       Finished subset 67/551, 12.16 percent done
INFO     | 2024-09-25 12:53:32,387 | progress   |       Finished subset 68/551, 12.34 percent done
INFO     | 2024-09-25 12:53:32,480 | progress   |       Finished subset 69/551, 12.52 percent done
INFO     | 2024-09-25 12:53:32,594 | progress   |       Finished subset 70/551, 12.70 percent done
INFO     | 2024-09-25 12:53:32,826 | progress   |       Finished subset 71/551, 12.89 percent done
INFO     | 2024-09-25 12:53:32,927 | progress   |       Finished subset 72/551, 13.07 percent done
INFO     | 2024-09-25 12:53:33,111 | progress   |       Finished subset 73/551, 13.25 percent done
INFO     | 2024-09-25 12:53:33,139 | progress   |       Finished subset 74/551, 13.43 percent done
INFO     | 2024-09-25 12:53:33,332 | progress   |       Finished subset 75/551, 13.61 percent done
INFO     | 2024-09-25 12:53:33,381 | progress   |       Finished subset 76/551, 13.79 percent done
INFO     | 2024-09-25 12:53:33,539 | progress   |       Finished subset 77/551, 13.97 percent done
INFO     | 2024-09-25 12:53:33,643 | progress   |       Finished subset 78/551, 14.16 percent done
